SYNMAP,synform,synLPh,synLT,Koeppen,AREAkm2
39,Shrubs & Crops,-,-,Dwa,30624.10777
39,Shrubs & Crops,-,-,Dwb,10514.30242
40,Shrubs & Barren,-,-,Af,27577.33783
40,Shrubs & Barren,-,-,Am,11552.72593
40,Shrubs & Barren,-,-,As,28965.26505
40,Shrubs & Barren,-,-,Aw,44089.12175
40,Shrubs & Barren,-,-,BSh,279974.8656
40,Shrubs & Barren,-,-,BSk,132908.1328
40,Shrubs & Barren,-,-,BWh,523608.2424
40,Shrubs & Barren,-,-,BWk,131555.979
40,Shrubs & Barren,-,-,Cfa,26849.62032
40,Shrubs & Barren,-,-,Cfb,15253.5275
40,Shrubs & Barren,-,-,Cfc,9589.988712
40,Shrubs & Barren,-,-,Csa,41007.72771
40,Shrubs & Barren,-,-,Csb,57431.19969
40,Shrubs & Barren,-,-,Csc,3297.097804
40,Shrubs & Barren,-,-,Cwa,691.9846948
40,Shrubs & Barren,-,-,Cwb,16702.8055
40,Shrubs & Barren,-,-,Cwc,4589.838149
40,Shrubs & Barren,-,-,Dfb,7068.889334
40,Shrubs & Barren,-,-,Dfc,1565202.159
40,Shrubs & Barren,-,-,Dfd,317650.1979
40,Shrubs & Barren,-,-,Dsa,2344.57945
40,Shrubs & Barren,-,-,Dsb,4675.308947
40,Shrubs & Barren,-,-,Dsc,97064.90276
40,Shrubs & Barren,-,-,Dwc,21231.15477
40,Shrubs & Barren,-,-,Dwd,4523.174663
40,Shrubs & Barren,-,-,EF,6048.298512
40,Shrubs & Barren,-,-,ET,3431426.642
41,Grasses,-,-,Af,5757.854308
41,Grasses,-,-,Am,138896.4115
41,Grasses,-,-,As,10087.11185
41,Grasses,-,-,Aw,477796.8894
41,Grasses,-,-,BSh,992223.1531
41,Grasses,-,-,BSk,2652491.503
41,Grasses,-,-,BWh,1066272.58
41,Grasses,-,-,BWk,238290.1776
41,Grasses,-,-,Cfa,865976.3991
41,Grasses,-,-,Cfb,212308.1135
41,Grasses,-,-,Cfc,37226.83603
41,Grasses,-,-,Csa,121581.5502
41,Grasses,-,-,Csb,13985.317
41,Grasses,-,-,Cwa,61032.88255
41,Grasses,-,-,Cwb,221834.1676
41,Grasses,-,-,Cwc,2213.852521
41,Grasses,-,-,Dfa,530512.9498
41,Grasses,-,-,Dfb,563912.4323
41,Grasses,-,-,Dfc,102414.9445
41,Grasses,-,-,Dsa,85890.31892
41,Grasses,-,-,Dsb,186641.1548
41,Grasses,-,-,Dsc,32831.19848
41,Grasses,-,-,Dwa,39755.71447
41,Grasses,-,-,Dwb,351993.267
41,Grasses,-,-,Dwc,725523.8359
41,Grasses,-,-,ET,803292.754
42,Grasses & Crops,-,-,Af,16944.63508
42,Grasses & Crops,-,-,Am,33577.09071
42,Grasses & Crops,-,-,As,29557.16701
42,Grasses & Crops,-,-,Aw,171821.5325
42,Grasses & Crops,-,-,BSh,157148.7372
42,Grasses & Crops,-,-,BSk,185080.5679
42,Grasses & Crops,-,-,BWk,10110.70349
42,Grasses & Crops,-,-,Cfa,369851.251
42,Grasses & Crops,-,-,Cfb,244965.8547
42,Grasses & Crops,-,-,Cfc,1376.381499
42,Grasses & Crops,-,-,Csa,34043.30033
42,Grasses & Crops,-,-,Csb,11841.97316
42,Grasses & Crops,-,-,Cwa,35045.55616
42,Grasses & Crops,-,-,Cwb,44488.69489
42,Grasses & Crops,-,-,Dfa,113003.6812
42,Grasses & Crops,-,-,Dfb,248266.2766
42,Grasses & Crops,-,-,Dfc,4021.430097
42,Grasses & Crops,-,-,Dsa,16018.46663
42,Grasses & Crops,-,-,Dsb,13649.13797
42,Grasses & Crops,-,-,Dsc,71.27437124
42,Grasses & Crops,-,-,Dwa,42777.07881
42,Grasses & Crops,-,-,Dwb,52043.69401
42,Grasses & Crops,-,-,Dwc,8846.204556
43,Grasses & Barren,-,-,Af,3059.453787
43,Grasses & Barren,-,-,Aw,1843.870514
43,Grasses & Barren,-,-,BSh,678.1404887
43,Grasses & Barren,-,-,Cfa,1042.729693
43,Grasses & Barren,-,-,Csa,2412.544137
43,Grasses & Barren,-,-,Dfa,73.02697894
