"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"BNPP_root_fine","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.01211,82,0.1172,0.5598,2.255
"GPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,9.264e-16,244,0.7237,0.9657,8.581
"NPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.663e-07,82,0.4989,0.8612,0.4111
"BNPP_root","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.305e-08,96,0.4011,0.8513,3.466
"BNPP_root_fine","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.008181,82,0.1251,0.5619,2.162
"GPP","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,6.621e-08,244,0.4608,0.9667,2.24
"NPP","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.278e-05,82,0.2542,0.7884,1.135
"BNPP_root","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.001634,96,0.138,0.7817,1.229
"BNPP_root_fine","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.04493,82,0.09605,0.5249,1.781
"GPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.969e-11,244,0.5712,0.9659,0.3692
"NPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.346e-09,82,0.5124,0.8554,2.292
"BNPP_root","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.801e-07,96,0.3437,0.8295,1.716
"BNPP_root_fine","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0008757,82,0.1787,0.5282,1.604
"GPP","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.554e-06,244,0.4056,0.9661,1.053
