"response","fixed","random","Age.filter","equation","significant"
"BNPP_root_coarse","mat","geographic.area/plot.name",">=100 yrs","BNPP_root_coarse = -0.04 + mat x 0.13  + age x 0 + 0  x interaction",TRUE
"R_auto","mat","geographic.area/plot.name",">=100 yrs","R_auto = 7.28 + mat x -0.15  + age x 0 + 0  x interaction",TRUE
"R_eco","mat","geographic.area/plot.name",">=100 yrs","R_eco = 7.27 + mat x 0.4  + age x 0 + 0  x interaction",TRUE
"R_soil","mat","geographic.area/plot.name",">=100 yrs","R_soil = 7.68 + mat x 0.14  + age x 0",TRUE
"R_soil_het","mat","geographic.area/plot.name",">=100 yrs","R_soil_het = 3.84 + mat x 0.03  + age x 0 + 0  x interaction",TRUE
"NEE","map","geographic.area/plot.name",">=100 yrs","NEE = 0.89 + map x 0",FALSE
"GPP","map","geographic.area/plot.name",">=100 yrs","GPP = 7.11 + map x 0  + age x 0.02 + 0  x interaction",TRUE
"NPP","map","geographic.area/plot.name",">=100 yrs","NPP = 4.28 + map x 0  + age x 0.01 + 0  x interaction",TRUE
"ANPP","map","geographic.area/plot.name",">=100 yrs","ANPP = 4.18 + map x 0  + age x 0 + 0  x interaction",TRUE
"ANPP_woody","map","geographic.area/plot.name",">=100 yrs","ANPP_woody = 2.31 + map x 0",FALSE
"ANPP_foliage","map","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 0.58 + map x 0  + age x 0 + 0  x interaction",TRUE
"ANPP_woody_branch","map","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.88 + map x 0",FALSE
"ANPP_woody_stem","map","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.01 + map x 0  + age x 0 + 0  x interaction",TRUE
"NPP_woody","map","geographic.area/plot.name",">=100 yrs","NPP_woody = 3.84 + map x 0",FALSE
"NPP_understory","map","geographic.area/plot.name",">=100 yrs","NPP_understory = 0.8 + map x 0",FALSE
"ANPP_litterfall","map","geographic.area/plot.name",">=100 yrs","ANPP_litterfall = 4.33 + map x 0",TRUE
"ANPP_repro","map","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.33 + map x 0  + age x 0",TRUE
"BNPP_root","map","geographic.area/plot.name",">=100 yrs","BNPP_root = 1.5 + map x 0  + age x 0",FALSE
"BNPP_root_fine","map","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 0.93 + map x 0  + age x 0",TRUE
"BNPP_root_coarse","map","geographic.area/plot.name",">=100 yrs","BNPP_root_coarse = -0.15 + map x 0  + age x 0 + 0  x interaction",TRUE
"R_auto","map","geographic.area/plot.name",">=100 yrs","R_auto = 7.33 + map x 0  + age x 0 + 0  x interaction",TRUE
"R_eco","map","geographic.area/plot.name",">=100 yrs","R_eco = 7.27 + map x 0  + age x 0.02",TRUE
"R_soil","map","geographic.area/plot.name",">=100 yrs","R_soil = 7.72 + map x 0  + age x 0",FALSE
"R_soil_het","map","geographic.area/plot.name",">=100 yrs","R_soil_het = 3.27 + map x 0  + age x 0",FALSE
"NEE","lat","geographic.area/plot.name",">=100 yrs","NEE = 4.56 + lat x -0.08  + age x 0 + 0  x interaction",TRUE
"GPP","lat","geographic.area/plot.name",">=100 yrs","GPP = 23.77 + lat x -0.26  + age x 0.01",TRUE
"NPP","lat","geographic.area/plot.name",">=100 yrs","NPP = 9.55 + lat x -0.07  + age x 0 + 0  x interaction",TRUE
"ANPP","lat","geographic.area/plot.name",">=100 yrs","ANPP = 10.48 + lat x -0.12  + age x 0",TRUE
"ANPP_woody","lat","geographic.area/plot.name",">=100 yrs","ANPP_woody = 5.09 + lat x -0.05  + age x 0",TRUE
"ANPP_foliage","lat","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 2.6 + lat x -0.03  + age x 0",TRUE
"ANPP_woody_branch","lat","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.94 + lat x -0.01",FALSE
"ANPP_woody_stem","lat","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 4.01 + lat x -0.04  + age x 0",TRUE
"NPP_woody","lat","geographic.area/plot.name",">=100 yrs","NPP_woody = 6.08 + lat x -0.07  + age x 0",TRUE
"NPP_understory","lat","geographic.area/plot.name",">=100 yrs","NPP_understory = -2.01 + lat x 0.05  + age x 0 + 0  x interaction",TRUE
"ANPP_litterfall","lat","geographic.area/plot.name",">=100 yrs","ANPP_litterfall = 3.99 + lat x -0.04",TRUE
"ANPP_repro","lat","geographic.area/plot.name",">=100 yrs","ANPP_repro = -0.14 + lat x 0.01  + age x 0",TRUE
"BNPP_root","lat","geographic.area/plot.name",">=100 yrs","BNPP_root = 2.55 + lat x -0.02  + age x 0 + 0  x interaction",TRUE
"BNPP_root_fine","lat","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 3.08 + lat x -0.03",TRUE
"BNPP_root_coarse","lat","geographic.area/plot.name",">=100 yrs","BNPP_root_coarse = 3.83 + lat x -0.06  + age x 0 + 0  x interaction",TRUE
"R_auto","lat","geographic.area/plot.name",">=100 yrs","R_auto = 17.75 + lat x -0.21  + age x 0",TRUE
"R_eco","lat","geographic.area/plot.name",">=100 yrs","R_eco = 16.4 + lat x -0.15  + age x 0.02 + 0  x interaction",TRUE
"R_soil","lat","geographic.area/plot.name",">=100 yrs","R_soil = 14.56 + lat x -0.12",TRUE
"R_soil_het","lat","geographic.area/plot.name",">=100 yrs","R_soil_het = 6.84 + lat x -0.06  + age x 0",TRUE
"NEE","leaf.type","geographic.area/plot.name",">=100 yrs","NEE = 0.14 + leaf.type x 1.31",TRUE
"GPP","leaf.type","geographic.area/plot.name",">=100 yrs","GPP = 11.4 + leaf.type x 1.54  + age x 0.01 + 0.01  x interaction",TRUE
"NPP","leaf.type","geographic.area/plot.name",">=100 yrs","NPP = 5.16 + leaf.type x 1.45  + age x 0 + 0.01  x interaction",TRUE
"ANPP","leaf.type","geographic.area/plot.name",">=100 yrs","ANPP = 4.22 + leaf.type x 0.61  + age x 0 + 0  x interaction",TRUE
"ANPP_woody","leaf.type","geographic.area/plot.name",">=100 yrs","ANPP_woody = 2.42 + leaf.type x 0.54  + age x 0 + 0  x interaction",TRUE
"ANPP_foliage","leaf.type","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 1.29 + leaf.type x 0.41  + age x 0 + 0  x interaction",TRUE
"ANPP_woody_branch","leaf.type","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.43 + leaf.type x 0.49",TRUE
"ANPP_woody_stem","leaf.type","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.31 + leaf.type x 0.44",TRUE
"NPP_woody","leaf.type","geographic.area/plot.name",">=100 yrs","NPP_woody = 9.1 + leaf.type x -4.38  + age x -0.34 + 0.34  x interaction",TRUE
"NPP_understory","leaf.type","geographic.area/plot.name",">=100 yrs","NPP_understory = 0.33 + leaf.type x 0.13",FALSE
"BNPP_root","leaf.type","geographic.area/plot.name",">=100 yrs","BNPP_root = 1.8 + leaf.type x -0.11  + age x 0 + 0  x interaction",TRUE
"BNPP_root_fine","leaf.type","geographic.area/plot.name",">=100 yrs","BNPP_root_fine = 1.46 + leaf.type x 0.04  + age x 0 + 0  x interaction",TRUE
"BNPP_root_coarse","leaf.type","geographic.area/plot.name",">=100 yrs","BNPP_root_coarse = 0.63 + leaf.type x -0.2",TRUE
"R_auto","leaf.type","geographic.area/plot.name",">=100 yrs","R_auto = 6.88 + leaf.type x 0.83  + age x 0.01",FALSE
"R_eco","leaf.type","geographic.area/plot.name",">=100 yrs","R_eco = 7.93 + leaf.type x 2.22  + age x 0.02",TRUE
"R_soil","leaf.type","geographic.area/plot.name",">=100 yrs","R_soil = 8.59 + leaf.type x 2.1  + age x 0",TRUE
"R_soil_het","leaf.type","geographic.area/plot.name",">=100 yrs","R_soil_het = 3.63 + leaf.type x 1.25  + age x 0 + 0  x interaction",TRUE
"NEE","leaf.phenology","geographic.area/plot.name",">=100 yrs","NEE = 0.66 + leaf.phenology x 0.35",FALSE
"GPP","leaf.phenology","geographic.area/plot.name",">=100 yrs","GPP = 11.4 + leaf.phenology x 0.29  + age x 0.02",FALSE
"NPP","leaf.phenology","geographic.area/plot.name",">=100 yrs","NPP = 5.08 + leaf.phenology x 1.52  + age x 0",TRUE
"ANPP","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP = 4.47 + leaf.phenology x 0.26",FALSE
"ANPP_woody","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_woody = 2.42 + leaf.phenology x 0.39",FALSE
"ANPP_foliage","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 1.35 + leaf.phenology x 0.17  + age x 0",FALSE
"ANPP_woody_branch","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.49 + leaf.phenology x 0.31  + age x 0",TRUE
"ANPP_woody_stem","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.67 + leaf.phenology x -0.35",FALSE
"NPP_woody","leaf.phenology","geographic.area/plot.name",">=100 yrs","NPP_woody = 4.95 + leaf.phenology x -1.28  + age x 0",FALSE
"NPP_understory","leaf.phenology","geographic.area/plot.name",">=100 yrs","NPP_understory = 0.34 + leaf.phenology x 0.12",FALSE
"ANPP_litterfall","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_litterfall = 3.61 + leaf.phenology x 0.42",FALSE
"ANPP_repro","leaf.phenology","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.33 + leaf.phenology x -0.05",FALSE
