"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"ANPP_1","Aridity","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,4.57246562177954e-08,122,0.2152,0.8384,3.534
"ANPP_foliage","Aridity","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,8.12403220939236e-07,95,0.2785,0.8805,14.5
"ANPP_repro","Aridity","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,0.000402529267072268,33,0.4589,0.94,0.02656
"ANPP_1","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,1.94633257943767e-06,122,0.1947,0.8622,2.294
"ANPP_foliage","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,2.13050635923749e-07,95,0.3772,0.8363,1.908
"ANPP_repro","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.000269205786284436,33,0.454,0.9371,2.857
"ANPP_1","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,6.28371666231593e-06,122,0.2935,0.8856,0.8573
"ANPP_foliage","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,3.26238798738494e-07,95,0.3071,0.8105,1.34
"ANPP_repro","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.000743772274886244,33,0.3856,0.9303,2.433
"ANPP_woody","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.000840125371076121,34,0.3174,0.8875,0.9131
"ANPP_woody_stem","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.46700681096358e-11,214,0.2313,0.8781,0.7067
"ANPP_woody_branch","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.0584622014093656,43,0.09422,0.7056,0.6031
"ANPP_woody","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.2252250091344e-05,33,0.4039,0.9069,1.031
"ANPP_woody_stem","map","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,2.18590930718278e-06,216,0.1275,0.8879,1.366
"ANPP_woody_branch","map","geographic.area/plot.name","age.greater.than.100","mod.age.linear",FALSE,0.110197351334966,46,0.1508,0.6468,1.41
"ANPP_woody","lat","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,0.00269953590316315,52,0.3328,0.5519,2.636
"ANPP_woody_stem","lat","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,2.34005078057646e-10,243,0.2457,0.8627,3.389
"ANPP_woody_branch","lat","geographic.area/plot.name","age.greater.than.100","mod.age.linear.poly",TRUE,0.000358851245132688,73,0.293,0.6682,0.3388
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,0.00137217584725601,52,0.404,0.5884,1.311
"ANPP_woody_stem","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,2.84527017554016e-07,243,0.1753,0.8412,0.9918
"ANPP_woody_branch","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.000517087149371669,73,0.2661,0.6025,0.5155
"ANPP_woody","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,0.000630784348843786,52,0.4394,0.561,3.106
"ANPP_woody_stem","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,1.9389063195623e-08,243,0.1937,0.8482,1.216
"ANPP_woody_branch","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.00123103926156339,73,0.2188,0.6443,1.761
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,0.000174516496096289,52,0.4686,0.5569,5.158
"ANPP_woody_stem","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,5.21411618880835e-10,243,0.2234,0.8634,1.697
"ANPP_woody_branch","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.000948985825614331,73,0.2343,0.6517,1.766
"ANPP_woody","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,0.000280852568400166,52,0.5048,0.5991,4.769
"ANPP_woody_stem","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.age.int.poly",TRUE,5.2682034418102e-10,243,0.2718,0.8653,1.981
"ANPP_woody_branch","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,0.00217309262570678,73,0.2821,0.7181,4.009
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,0.00157246879785442,52,0.4051,0.5129,3.49
"ANPP_woody_stem","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.age.int",TRUE,1.19722838563143e-09,243,0.2303,0.8627,3.708
"ANPP_woody_branch","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.age.linear",TRUE,0.00121642689307721,73,0.2475,0.663,1.863
