"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"BNPP_root_fine","lat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001879,93,0.1821,0.3499,0.9044
"GPP","lat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.067e-12,303,0.5435,0.8987,2.354
"NPP","lat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.183e-09,95,0.4958,0.8241,1.931
"BNPP_root","lat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.528e-09,108,0.44,0.7765,0.809
"BNPP_root_fine","lat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001879,93,0.1821,0.3499,0.9044
"GPP","lat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.067e-12,303,0.5435,0.8987,2.354
"NPP","lat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.183e-09,95,0.4958,0.8241,1.931
"BNPP_root","lat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.528e-09,108,0.44,0.7765,0.809
"BNPP_root_fine","lat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001879,93,0.1821,0.3499,0.9044
"GPP","lat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.067e-12,303,0.5435,0.8987,2.354
"NPP","lat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.183e-09,95,0.4958,0.8241,1.931
"BNPP_root","lat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.528e-09,108,0.44,0.7765,0.809
"BNPP_root_fine","lat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001879,93,0.1821,0.3499,0.9044
