"response","fixed","random","Age.filter","equation","significant","additive","interactive","Rsq.R2m","Rsq.R2c"
"ANPP_repro","PotentialEvapotranspiration","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.13 + PotentialEvapotranspiration x 0  + age x -0.16",TRUE,TRUE,FALSE,0.4373,0.9974
"ANPP_1","VapourPressureDeficit","geographic.area/plot.name",">=100 yrs","ANPP_1 = 6.56 + VapourPressureDeficit x -1.47  + age x -1.93 + 2.34  x interaction",TRUE,FALSE,TRUE,0.217,0.9874
"ANPP_foliage","VapourPressureDeficit","geographic.area/plot.name",">=100 yrs","ANPP_foliage = 0.26 + VapourPressureDeficit x 3.42",TRUE,FALSE,FALSE,0.4074,0.9853
"ANPP_repro","VapourPressureDeficit","geographic.area/plot.name",">=100 yrs","ANPP_repro = 0.33 + VapourPressureDeficit x 0.1  + age x -0.16",FALSE,TRUE,FALSE,0.3627,0.9969
"ANPP_woody","mat","geographic.area/plot.name",">=100 yrs","ANPP_woody = 0.96 + mat x 0.1  + age x 0.34 + -0.06  x interaction",TRUE,FALSE,TRUE,0.6214,0.994
"ANPP_woody_stem","mat","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 0.22 + mat x 0.11",TRUE,FALSE,FALSE,0.2962,0.9878
"ANPP_woody_branch","mat","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.33 + mat x 0.02",TRUE,FALSE,FALSE,0.1331,0.9643
"ANPP_woody","map","geographic.area/plot.name",">=100 yrs","ANPP_woody = 1.21 + map x 0  + age x 0.38 + 0  x interaction",TRUE,FALSE,TRUE,0.2939,0.994
"ANPP_woody_stem","map","geographic.area/plot.name",">=100 yrs","ANPP_woody_stem = 2.35 + map x 0  + age x -0.29 + 0  x interaction",TRUE,FALSE,TRUE,0.2259,0.9881
"ANPP_woody_branch","map","geographic.area/plot.name",">=100 yrs","ANPP_woody_branch = 0.76 + map x 0  + age x -0.21",FALSE,TRUE,FALSE,0.2131,0.9723
