"response","fixed","random","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c"
"ANPP_woody_branch","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,0.01038,78,0.1569,0.6647
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,0.0034,63,0.2881,0.6158
"ANPP_woody_stem","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,4.334e-05,316,0.08273,0.856
"ANPP_woody_branch","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,0.003951,78,0.1857,0.6594
"ANPP_woody","AnnualPre","geographic.area/plot.name","age.greater.than.100",TRUE,0.006531,63,0.23,0.4934
"ANPP_woody_stem","AnnualPre","geographic.area/plot.name","age.greater.than.100",TRUE,1.118e-06,316,0.09879,0.8515
"ANPP_woody_branch","AnnualPre","geographic.area/plot.name","age.greater.than.100",FALSE,0.2246,78,0.0536,0.6258
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",TRUE,0.003617,63,0.2766,0.6133
"ANPP_woody_stem","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",TRUE,9.301e-06,317,0.1132,0.8573
"ANPP_woody_branch","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",TRUE,0.002695,78,0.2054,0.6622
"ANPP_woody","AnnualPET","geographic.area/plot.name","age.greater.than.100",TRUE,0.008072,63,0.209,0.5886
"ANPP_woody_stem","AnnualPET","geographic.area/plot.name","age.greater.than.100",TRUE,1.311e-07,317,0.1178,0.8614
"ANPP_woody_branch","AnnualPET","geographic.area/plot.name","age.greater.than.100",TRUE,0.02359,78,0.1504,0.6412
"ANPP_woody","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,0.008156,63,0.2139,0.5891
"ANPP_woody_stem","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,2.93e-11,317,0.2154,0.8661
"ANPP_woody_branch","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,0.0001767,78,0.2729,0.6005
